id,yr,worry_cchange,prezjob_envt,prezjob_energy,govprotect,envt1,envt2,econ_v_envt,engy_v_envt,envworry_toxicwst,envworry_radioactivity,gw_understand,gw_serious,gw_laws_econ,fracking,energyserious,energy_shortage,solution_conserv,nucfav,nucsafe,nucfav_area,fav_nuclear,fav_openland,fav_mandateC02,fav_solar,fav_altfuel,fav_mandateC02bus,fav_engylimits,fav_coal,emph_coal,emph_oil,emph_ngas,emph_wind,emph_solar,emph_nuclear,favor_reduce_fossil,envdone_vote,envdone_reduce,envdone_petition,envdone_stocks,envtrust_congress,envtrust_reps,envtrust_dems,pay100more,environmentalist,econ1,econ2,arealive_rec,age,educ,party,jobtype,religion,nucfav_binary,nuclear_target
61,2001,,Good job,Good job,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Not very well,Generally underestimated,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Strongly oppose,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,39.0,HS or Less,Lean Republican,,,,0
62,2001,,Poor job,Poor job,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,Only a little,Fairly well,Generally underestimated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",,,Strongly oppose,Oppose,,,Oppose,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,57.0,Some college,"Independent, no lean",,,,0
63,2001,,Good job,Good job,About the right amount,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A fair amount,Only a little,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Better,,52.0,Post-grad,Republican,,,Favor,1
64,2001,,Poor job,Poor job,Too little,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A fair amount,Very well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Better,,78.0,Some college,Democrat,,,,0
65,2001,,Good job,DK,About the right amount,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,A great deal,Fairly well,Generally exaggerated,,,DK,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,Favor,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Better,,,Some college,Republican,,,Favor,1
66,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",DK,A great deal,Only a little,Fairly well,Generally exaggerated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,54.0,Post-grad,Lean Democratic,,,Favor,1
67,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",Only a little,A fair amount,Very well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,,,Somewhat oppose,Oppose,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,24.0,Post-grad,"Independent, no lean",,,,0
68,2001,,Poor job,Good job,About the right amount,Excellent,Getting Better,"Protect Environment, even at risk of curbing economic growth",DK,A fair amount,Only a little,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,28.0,Post-grad,Lean Republican,,,Favor,1
69,2001,,Poor job,Poor job,About the right amount,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A fair amount,A great deal,Fairly well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,,,Strongly oppose,Favor,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,23.0,Some college,Democrat,,,,1
70,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,,,Somewhat favor,Oppose,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,69.0,Some college,Democrat,,,,0
